ds,yhat,yhat_lower,yhat_upper
2019-07-01,412.68776487730224,311.63981113494094,508.5884355395058
2019-07-02,456.6576374469014,356.0458890101788,553.1946246055762
2019-07-03,454.66024061017384,355.87554437861104,552.3722100250129
2019-07-04,426.0531010770079,308.8613941735295,526.8102757448086
2019-07-05,372.0580604247381,274.69548969158296,479.9209379167626
2019-07-06,167.56459794018798,60.450006746009635,275.0709595505256
2019-07-07,166.09881498588723,60.79624507165784,275.7692948175033
2019-07-08,399.8064043036946,296.6929321934446,505.0828747562907
2019-07-09,444.7900255142802,336.312997395887,536.1220070060724
2019-07-10,443.9526710488579,338.93930025841564,538.1231337765535
2019-07-11,416.6227848295735,317.1568927921779,516.4846509604041
2019-07-12,363.991109991913,253.54875166974085,460.370271639555
2019-07-13,160.91478200127955,54.337399920207034,257.68566344355634
2019-07-14,160.88708503899835,51.46249907588447,266.18776783979746
2019-07-15,396.02117652488494,288.15782679827777,502.54840811860277
2019-07-16,442.38818375704574,343.83820087971276,546.9759072918584
2019-07-17,442.8612412449217,343.4115755210302,543.3294906256583
2019-07-18,416.7412173846203,315.460054538006,523.0723800913106
2019-07-19,365.1940953055825,261.08674515954806,471.2320199107719
2019-07-20,163.05551520732214,55.69452265611673,259.89895339868923
2019-07-21,163.80088952657684,64.02241870827096,263.68373868088185
2019-07-22,399.52939183800265,299.75143199950884,507.8865667788978
2019-07-23,446.302221991653,340.66781655116193,546.7702127521981
2019-07-24,446.9867169970924,350.3929477560143,550.1037649746205
2019-07-25,420.8820594577344,318.8002101497333,526.9835125700288
2019-07-26,369.1565535485686,270.41077819939443,473.39857762158266
2019-07-27,166.6519827530287,67.07891725239615,270.48997021248334
2019-07-28,166.85346904426189,60.32477434074203,260.3678800278358
2019-07-29,401.8731438720057,296.262759772337,503.4404998213245
2019-07-30,447.7880437263642,346.02866295702836,555.1341344700398
2019-07-31,447.48381049594076,348.6542115837198,545.9789874471311
2019-08-01,420.2799593193358,322.20275221328944,524.5890405314154
2019-08-02,367.36669464007514,265.10339941527513,483.2218865738954
2019-08-03,163.608799015845,55.96405573344869,270.70865328043203
2019-08-04,162.51502404383456,63.452566699420075,273.52106248415186
2019-08-05,396.2213026373207,294.89846262797556,497.7625151220807
2019-08-06,440.82820329959,340.9560594983015,544.8340850153205
2019-08-07,439.2442134515833,333.61471774596805,542.760098344664
2019-08-08,410.81062020143014,310.3546664162527,515.6124733041534
2019-08-09,356.7379738462836,248.5863922177571,454.5102210087334
2019-08-10,151.90966212606168,60.470779603952074,254.4180430433957
2019-08-11,149.85102704131117,46.86147666978195,255.3632265844883
2019-08-12,382.7123449675603,274.42921162708257,480.07725961499693
2019-08-13,426.6060914000519,323.65278521791845,526.4784170234693
2019-08-14,424.4500774017694,314.99678747732344,523.5066486596038
2019-08-15,395.59222557689776,294.4298506278138,510.8736343673793
2019-08-16,341.2469699298745,240.1917088732368,442.8248532018469
2019-08-17,136.29880639572275,36.83876159541078,236.87177798099262
2019-08-18,134.2714244793416,35.94322673560834,234.3743517555547
2019-08-19,367.3107392931753,271.20079017506123,466.2838779065096
2019-08-20,411.52224391670615,309.7264380557116,515.8936779575081
2019-08-21,409.81426777415544,307.1156922331127,510.5997236202951
2019-08-22,381.5229075940121,277.11239244190284,478.87450045487503
2019-08-23,327.84861408188294,224.31661649090475,425.902250135545
2019-08-24,123.65995992465739,23.10067224864466,226.44506532166662
2019-08-25,122.46301833473308,15.520828965921194,224.43286896401236
2019-08-26,356.38467009772467,254.45292846145983,452.54354717887804
2019-08-27,401.5102574748471,292.3348328569436,505.26390889729475
2019-08-28,400.72716877377303,290.73218047755347,495.3634035872024
2019-08-29,373.3501178024548,263.8964604036726,471.4914965208229
2019-08-30,320.5580984515524,220.6004293747257,429.26961221849615
2019-08-31,117.19853647189834,13.036297029055527,222.29521097593002
2019-09-01,116.75706337315202,16.660068435987114,219.42795853375281
2019-09-02,351.34122543583686,254.95118346147717,456.88381063469825
2019-09-03,397.018540166315,288.2456829765253,497.1805613290529
2019-09-04,396.6604775564746,298.4875516191637,495.1883013120963
2019-09-05,369.5681229143995,265.5052737244171,480.1664466013938
2019-09-06,316.9094935571268,221.44309852758838,419.694412022526
2019-09-07,113.52402296262974,10.979317264855428,216.00557138839315
2019-09-08,112.8926285557059,6.658297670919666,211.95986192257567
2019-09-09,347.12166718127514,247.2429587905818,453.42561805864847
2019-09-10,392.2811820677675,293.162853942603,496.0678183908344
2019-09-11,391.2490102097951,294.1906719797497,488.1933917686761
2019-09-12,363.3364994846233,263.68557672042124,461.2389032114074
2019-09-13,309.7258012602635,204.4283084671153,415.535980228718
2019-09-14,105.27424689236383,6.909367491055891,212.09484451576458
2019-09-15,103.48422067437983,-0.33620830862301,203.5939166066332
2019-09-16,336.48683154708175,238.12970451710282,436.0231518282097
2019-09-17,380.3797876760806,270.7760700809603,478.2934555550389
2019-09-18,378.0710453939629,285.60171948394003,481.7555837271697
2019-09-19,348.9039867422327,246.15151300788042,453.01635993027287
2019-09-20,294.09409870860765,188.16105777622576,398.89493155628065
2019-09-21,88.53267230555247,-18.02137465919963,201.9163829165351
2019-09-22,85.75594611114602,-13.065579900151025,193.75306342375782
2019-09-23,317.9280107982648,209.13548922764298,419.77706101820775
2019-09-24,361.17789487812354,250.6661790205225,477.86951726011347
2019-09-25,358.4424208864725,249.064354174766,451.7610549035118
2019-09-26,329.09060519072403,223.22927083322207,428.37570095728205
2019-09-27,274.3595942398751,172.22517381433238,377.08976608034544
2019-09-28,69.157675417185,-31.112563321794827,167.01298084648505
