ds,yhat,yhat_lower,yhat_upper
2019-07-01,15133.628993034494,11150.359516782419,19338.79565376502
2019-07-02,16785.386728006208,12499.445269095762,21006.538846899795
2019-07-03,16787.755851415124,12749.67726542161,20780.006913471283
2019-07-04,16459.067105216065,12518.745286521935,20602.130165116614
2019-07-05,15737.841546322015,11854.64341483058,19600.042918298735
2019-07-06,6387.608605458363,2769.3062805565764,10435.049044448055
2019-07-07,5253.078261213468,1206.6260379396226,8994.402707716488
2019-07-08,14457.336019768358,10484.287572171705,18422.573213384578
2019-07-09,16249.220030006334,12454.462842666391,20338.567777610457
2019-07-10,16403.204127351204,12209.011569491173,20212.37561624734
2019-07-11,16234.895742806722,12300.537225891398,20264.119095245238
2019-07-12,15679.879152789254,11334.139106836694,19613.542386639074
2019-07-13,6498.593865502817,2469.460187523267,10602.688512653183
2019-07-14,5532.570581991122,1484.1254621030114,9611.770786090743
2019-07-15,14901.692068636985,11068.245942909447,18759.649960571427
2019-07-16,16851.63687362265,13012.992955208201,20680.193827367944
2019-07-17,17153.82826803324,13357.57927422966,21571.826009451182
2019-07-18,17120.995951194745,13019.37095346856,21308.7767278085
2019-07-19,16686.07964220908,12504.666995160796,20800.67902997903
2019-07-20,7607.163072966513,3672.010634205273,11561.487000319941
2019-07-21,6723.759638788675,2463.9623959119003,10838.617300001517
2019-07-22,16154.115985951263,12005.41925343663,19973.885294086896
2019-07-23,18142.69055616211,14301.173064079712,21963.382366991107
2019-07-24,18460.128721504938,14589.488674359558,22737.493054538125
2019-07-25,18418.841482423955,14306.22297033043,22485.421280224768
2019-07-26,17951.916476197526,13833.347416867602,21747.763560224827
2019-07-27,8818.049636715135,4904.782053041328,12866.303129417669
2019-07-28,7857.818791694921,4215.154745551463,11764.573413517
2019-07-29,17190.96570987526,13264.462100056491,21176.261161263898
2019-07-30,19063.84405168163,14669.357296160833,23211.27202151528
2019-07-31,19249.355479751088,15083.432081078005,23218.982413078025
2019-08-01,19062.48170456446,15024.119608956618,22835.123699631746
2019-08-02,18439.14217587802,14595.78454960228,22597.15352173783
2019-08-03,9141.06686752472,4796.6416819470915,13052.952256928713
2019-08-04,8012.006667616718,3843.938171333565,11775.129151989604
2019-08-05,17174.94920842164,12966.711482624949,21073.397595526698
2019-08-06,18879.49897767286,14833.217511271518,22563.39234118654
2019-08-07,18901.745396450853,14823.417076191081,22675.440225427985
2019-08-08,18559.728076071755,14617.631669666167,22077.742082408113
2019-08-09,17792.23038231316,14036.862236196452,22211.96618664976
2019-08-10,8363.59212170734,4081.221618516387,12328.220790606618
2019-08-11,7119.865150941641,3140.3103963511894,11504.255790369643
2019-08-12,16185.980925716416,12235.133361784594,20164.954771166704
2019-08-13,17813.089881904714,13890.110453040315,22112.90488057398
2019-08-14,17778.39723153738,13675.45957582103,21571.389148452
2019-08-15,17400.605107823307,13574.882897645264,21445.86907125659
2019-08-16,16618.692720754418,12695.122447825343,20485.168174752805
2019-08-17,7196.7256671516225,3114.8370839501417,10663.973049645932
2019-08-18,5980.0183146716,2033.5934268962264,9915.780641048035
2019-08-19,15092.31817897186,10904.475255767811,18977.314585852626
2019-08-20,16783.1718755315,12973.228798073407,21050.928938699384
2019-08-21,16827.796706108766,12772.77781228035,21089.14285592858
2019-08-22,16542.567092542242,12047.031280607745,20975.595158380256
2019-08-23,15863.846609310007,11616.551673321832,19964.143153922774
2019-08-24,6552.855680719778,2466.8351736643294,10454.08651146585
2019-08-25,5451.897635423309,1498.4500429128925,9805.16443037377
2019-08-26,14681.610688660527,10444.062856235414,18880.015974508857
2019-08-27,16488.403988786198,12501.002146846613,20788.16471194917
2019-08-28,16644.40027866016,12563.139439766246,20631.882054688234
2019-08-29,16462.992841060306,12303.115481397888,20318.18829976532
2019-08-30,15877.74593583143,12016.154619939069,20077.6581283377
2019-08-31,6647.327283047964,2825.1294149182463,10492.250560518725
2019-09-01,5611.793839972194,1705.0491888098043,9595.023225963996
2019-09-02,14889.897088700789,11111.28841683247,18925.34833045589
2019-09-03,16726.5647589523,12542.59547400129,20740.425110500444
2019-09-04,16892.880461586094,12911.065468596767,20797.49226991645
2019-09-05,16701.668020184054,12559.616979426564,20634.541248411908
2019-09-06,16086.409023065793,12035.027836753841,20201.38359370934
2019-09-07,6806.181683126815,2622.2518155997523,10479.835190120037
2019-09-08,5701.942016724468,1531.2177048580704,9954.996012022002
2019-09-09,14893.813566060959,11253.21352913048,19043.163947216806
2019-09-10,16628.542823887816,12536.099341485748,20408.493543701265
2019-09-11,16679.442327808792,12806.864836071458,20798.41793271557
2019-09-12,16361.928919555266,12499.033667713404,20447.716930634837
2019-09-13,15612.386622649827,11540.342617646944,19768.69850613362
2019-09-14,6193.043355403424,2236.0073997433055,10050.839091900063
2019-09-15,4948.183796330471,772.762350854174,8447.147004082455
2019-09-16,14001.366082628656,9794.603903765239,17724.89660572469
2019-09-17,15602.80107527136,11899.131275807009,19648.167218906543
2019-09-18,15529.217819010071,11669.16799704289,19536.540477450217
2019-09-19,15099.324403132532,11206.853689876607,19201.80264230396
2019-09-20,14252.595399023032,10276.552537676958,18286.355726894344
2019-09-21,4754.076788488561,530.7380314335688,8745.082318654591
2019-09-22,3450.53233249382,-573.7985154604405,7219.830691027624
2019-09-23,12467.600592832727,8288.240026189247,16395.780128376806
2019-09-24,14057.122734780083,9842.048832413962,17747.01411153021
2019-09-25,13996.965964916559,9901.29549850201,17869.081089108844
2019-09-26,13606.452836728758,9572.361052999642,17820.273117629928
2019-09-27,12825.12840313426,8595.265181899244,16673.999697560896
2019-09-28,3417.5566884892924,-554.2285028278073,7462.116412301377
2019-09-29,2229.470729174025,-1751.4594288066214,6139.317742130173
2019-09-30,11384.94542480904,7361.1004789866,15244.193559437614
2019-10-01,13133.75308662056,8971.648095222474,17159.452716168475
2019-10-02,13251.226024266058,9407.496427063643,17136.865066257527
2019-10-03,13053.73563081321,8895.287892583756,16969.139529380773
2019-10-04,12477.518925546912,8277.253633666267,16430.420628911637
2019-10-05,3283.5427822592846,-683.0177675779493,7319.903077285736
2019-10-06,2313.728647729584,-1750.3519943580861,6401.414787519602
2019-10-07,11688.205379395027,7571.101566847292,15627.15201982644
2019-10-08,13652.748342502946,9785.402248411814,17667.79717201903
2019-10-09,13978.727266135747,10138.342244503898,17690.029798827993
2019-10-10,13978.670422753035,9836.203569567082,17587.44206770561
2019-10-11,13585.174184149937,9740.120233862368,17633.257514597506
2019-10-12,4555.8463072388595,232.41870699484184,8464.027108875745
2019-10-13,3729.603955475459,-206.90810209842064,7617.525395590262
2019-10-14,13223.992403375038,9467.251546780237,16962.92002006173
2019-10-15,15282.681039070669,11192.55430860343,19289.867058772517
2019-10-16,15675.45783291333,11714.305671729384,19823.300745971217
2019-10-17,15713.828729208753,11534.469842097276,19203.298423455315
2019-10-18,15329.950159612159,11076.784076420285,19180.839326881105
2019-10-19,6281.582450475943,2498.83941233597,10403.20777070734
2019-10-20,5408.384838181319,1480.8771091809954,9240.445040539846
2019-10-21,14829.218045823596,10694.878230743188,18802.625521771748
2019-10-22,16789.61134246663,12846.330740735875,20782.88213919594
2019-10-23,17061.715853007725,12813.426334876118,21204.04969897085
2019-10-24,16959.851459744077,12879.945265981154,21079.679857917974
2019-10-25,16419.376641227707,12591.469957259043,20587.07514372213
2019-10-26,7201.570407438794,3223.090425909187,11339.493134499357
2019-10-27,6149.848640253731,2125.1961416448985,9936.998312959444
2019-10-28,15386.98255979316,11357.92936811807,19782.36836054497
2019-10-29,17162.47813809409,13157.150930860897,21408.67371029241
2019-10-30,17252.44021609105,13182.024948242924,21210.73698748286
2019-10-31,16975.030697594146,12841.820657872324,21062.108741914544
2019-11-01,16269.252192907745,12539.741940518536,20188.321876906797
2019-11-02,6899.748247727676,2665.3065625407676,10761.309963268666
2019-11-03,5712.944345475481,1468.1489834238678,9404.40591510876
2019-11-04,14834.199139548038,10881.474106079615,18920.545153249535
2019-11-05,16515.126291838373,12677.270757682492,20514.40192271142
2019-11-06,16533.412007179442,12609.536266488363,20541.20248787409
2019-11-07,16208.2387192738,12347.657906793438,20014.205376664744
2019-11-08,15479.047105231568,11711.437062559846,19557.38142925556
2019-11-09,6110.328070867606,2241.7872285583458,10241.33806623809
2019-11-10,4947.769090933082,701.7437456195054,9092.071821236232
2019-11-11,14115.424242695191,10217.856793365485,18320.47923255689
2019-11-12,15863.06787564031,11720.17345152259,19872.897579225944
2019-11-13,15966.056271875132,11976.436310640225,19870.26577449484
2019-11-14,15740.806729447635,11682.648683420373,19701.853315913937
2019-11-15,15123.624960304109,11164.036060007998,19193.841191830823
2019-11-16,5875.570926068216,2116.762458773093,9906.041825441951
2019-11-17,4838.685780067288,643.060971141679,9083.742387339273
2019-11-18,14133.247381089914,9992.036961846561,18182.586530175537
2019-11-19,16005.212336647262,11877.72970666437,19953.57135479651
2019-11-20,16226.166879235843,12251.061350521311,20346.82850912893
2019-11-21,16108.89394012509,12257.317828448106,20174.141975591527
2019-11-22,15586.285276549474,12042.607700012559,19573.01309434212
2019-11-23,6416.286820106729,2573.783984791735,10625.61114219044
2019-11-24,5438.198085478692,1269.191927266627,9323.693930451176
2019-11-25,14769.991446242291,10901.837025265182,18793.548957871033
2019-11-26,16655.80778472552,12823.957212137622,20651.318292104315
2019-11-27,16865.949612542434,12697.11332795852,21007.65496443885
2019-11-28,16712.478089848726,12695.984827347813,20547.730315898596
2019-11-29,16128.142155538331,12415.529339277868,20000.270765837722
2019-11-30,6871.327599735679,2748.0935199994187,11205.86862128641
2019-12-01,5782.346895000803,1667.4395370831141,9917.872682380732
2019-12-02,14980.735884095593,10939.3520728451,19233.95527906315
2019-12-03,16712.714426872724,12748.92764580633,20396.871624313884
2019-12-04,16751.132988807054,12808.284496844903,20769.639631787915
2019-12-05,16411.01275105416,12327.831582563816,20381.4532489339
2019-12-06,15628.408844948992,11839.419538634398,19779.77098078737
2019-12-07,6165.286135158205,2068.6502112450007,10228.888684969495
2019-12-08,4865.730125451434,1102.185180599141,8721.547455827926
2019-12-09,13853.160961422467,9755.650466842522,17667.155752540348
2019-12-10,15377.709585086808,11413.866306843085,19517.35946172909
2019-12-11,15216.080001207742,11451.192320100432,19115.66174288785
2019-12-12,14687.0071922443,10618.818561548002,18637.29610877911
2019-12-13,13730.042172558562,9707.155833886394,17977.510699894814
2019-12-14,4110.355380037386,170.99205181214396,7891.049435468684
2019-12-15,2674.8825965622054,-1605.6771297914302,6376.934633889901
2019-12-16,11549.48279548456,7783.304278585298,15616.998163600007
2019-12-17,12986.268166987089,9025.153522829236,17224.838159953404
2019-12-18,12763.431222992322,8739.136213271424,16807.584016624
2019-12-19,12200.679185836721,8193.72812501531,16420.480162055912
2019-12-20,11238.007529090311,7213.765581102987,15108.491334858772
2019-12-21,1640.5039524330696,-2366.5373709453243,5372.747544005684
2019-12-22,254.50677108266973,-3416.547293408352,4051.299705929743
2019-12-23,9204.78662267298,5042.584700419151,12992.817000392215
2019-12-24,10741.910975173494,6645.463288027322,14436.729080251018
2019-12-25,10642.115325047042,6841.406860183471,14661.077076196158
2019-12-26,10222.79005514663,6163.471594727319,14504.403440793234
2019-12-27,9421.31340144058,5324.4571226304115,13366.30463770942
2019-12-28,-0.07975824958703015,-3947.6717522718372,3714.456794372152
2019-12-29,-1198.0709885074557,-5276.289649011158,2677.8406269941856
2019-12-30,7948.993909270165,4131.477569406619,11883.160737039587
2019-12-31,9688.540118240293,5820.6118754373265,13902.324964097696
2020-01-01,9793.704198122854,5899.534550767175,13708.823050437986
2020-01-02,9578.88695461144,5751.256595362984,13513.922180323378
2020-01-03,8978.647681003466,4870.679750217934,13170.357887447055
2020-01-04,-247.37191893539057,-4199.9232155367135,4095.6892967387985
2020-01-05,-1258.1730449348051,-5299.291897342937,2957.257782327203
2020-01-06,8065.891801345826,4144.762713330562,12016.103252441617
2020-01-07,9970.584280947991,6045.574345751006,14156.445279423848
2020-01-08,10227.741174762965,6220.441059394619,14177.225291446726
2020-01-09,10150.837873041179,6323.803192872571,14116.483469549856
2020-01-10,9673.883290341131,5628.902419190233,13492.874833957414
2020-01-11,556.3347715631044,-3411.113605164232,4421.826312779173
2020-01-12,-360.6454219188345,-4326.727243940998,3863.029838216637
2020-01-13,9043.074843200498,5039.928971062702,13260.443785249356
2020-01-14,11014.028892733311,6909.86238726095,15349.494922983688
2020-01-15,11325.071686660947,7279.576973699362,15379.097452603697
2020-01-16,11290.897697527302,7328.412498548435,15533.614536457953
2020-01-17,10846.886505390688,6774.765565390168,14710.274284805118
2020-01-18,1753.9661347767833,-1996.076556627719,6009.962774021813
2020-01-19,854.8172142227122,-2988.637076264392,4981.312707869554
2020-01-20,10271.08633199072,6226.918943168179,14183.149904840628
2020-01-21,12250.767918368312,8257.403642617013,16154.140188684132
2020-01-22,12568.07875932514,8880.72747132555,16460.47863925141
2020-01-23,12538.93468330511,8531.698002117662,16848.236870928446
2020-01-24,12099.76077304225,8157.699892729535,16324.98403878908
2020-01-25,3012.326018359402,-1156.4019982286504,6970.779128191611
2020-01-26,2119.9261773930557,-1772.9161929068048,6152.541221305422
2020-01-27,11544.583686697772,7574.6276105585375,15389.608113752076
2020-01-28,13534.4241871193,9443.408533968224,17432.097040303917
2020-01-29,13863.553773400687,9887.861627583747,17959.397442088673
2020-01-30,13847.546279780363,10047.817823532907,17891.30591110972
2020-01-31,13422.271503167864,9385.377545676254,17544.173235157785
2020-02-01,4348.754620899996,159.39538361429743,8008.1732514197465
2020-02-02,3469.389726101351,-478.4310302120491,7451.036092437027
2020-02-03,12905.175313774149,9168.953529201723,16851.494487427142
2020-02-04,14903.130148516118,10829.19257600704,18559.45655119322
2020-02-05,15236.212384656938,11421.12211792551,19293.01200599234
2020-02-06,15218.849954899862,11193.757725300014,19255.97012894765
2020-02-07,14785.811805082034,10954.054634206836,18730.084359588956
2020-02-08,5697.10892240875,1730.9217330490499,10005.73878050816
2020-02-09,4794.246819670097,517.5772884133205,9116.299933261695
2020-02-10,14197.496133267181,10418.808942715128,18389.694145885867
2020-02-11,16153.338708662235,12236.08752925548,20044.644858026677
2020-02-12,16434.411134835536,12372.560022753578,20435.3074567769
2020-02-13,16355.053006656339,12161.880335540905,20200.66582409174
2020-02-14,15850.188949284875,11668.08159083934,19763.269035283425
2020-02-15,6680.233015977237,2314.7853992911614,10368.329400802992
2020-02-16,5687.337002627851,1709.2587757094277,9560.751824512548
2020-02-17,14992.649437239088,10878.928878337827,18853.56166632048
2020-02-18,16843.74293502702,12955.32048736779,20683.61212830878
2020-02-19,17014.532404051035,12857.137633682794,21179.558999532965
2020-02-20,16820.792096231104,12803.732228072638,20803.28543484811
2020-02-21,16199.001424832071,12069.149991375014,19973.464566903287
2020-02-22,6911.20919345193,2917.130663094485,10973.584212370179
2020-02-23,5801.2389297276895,1927.5729001090288,9850.245354664057
2020-02-24,14991.903318040022,11006.083528462328,18846.41040663909
2020-02-25,16732.386705696106,12585.454589319843,20916.65472817282
2020-02-26,16798.11946678688,12570.854089935929,20829.296006043707
2020-02-27,16506.253493748285,12537.347407714571,20472.55791106844
2020-02-28,15794.46995448584,11939.664525171787,19904.709973808593
2020-02-29,6425.8100832795435,2514.2159820511733,10406.271900508307
2020-03-01,5244.852697246973,1286.99181226681,9196.33603347303
2020-03-02,14374.907277453149,10332.467296288394,18372.921278371272
2020-03-03,16065.388702825807,11750.991988611022,19921.64526553915
2020-03-04,16091.665658979326,12456.016381618885,20062.754586092702
2020-03-05,15770.556717184914,11805.277048138394,19729.076097385245
2020-03-06,15039.14079608748,10983.234487601077,19261.94539538058
2020-03-07,5659.604826782859,1380.390326431892,9873.621815585997
2020-03-08,4475.445468694299,481.4936118988799,8425.759544478322
2020-03-09,13608.693110036327,9501.603847408018,17877.25748851854
2020-03-10,15307.316997840891,11410.35449770151,19153.707772464353
